FunctionID_f,AvgServiceTimeMillisec,Invocations30Days
1785,1171,9
1786,13484,1
1787,122,43
1788,165,88707
1789,469,288
1790,724,1
1791,1346,10
1792,479,1
1793,5,176
1794,1,288
1795,16435,1
1796,111,2530
1797,1060,288
1798,27505,5
1799,257,288
1800,15,1
1801,125,243
1802,266,288
1803,19103,1
1804,1678,24
1805,129,1440
1806,4254,82
1807,2347,479
1808,30424,3
1809,65,288
1810,137284,1
1811,1030,1
1812,2111,1
1813,15344,158
1814,1230,6
1815,4095,288
1816,107,17
1817,36,1
1818,61978,1
1819,174,8638
1820,1126,1
1821,138,1
1822,178,288
1823,11,1
1824,64,288
1825,2021,38
1826,1159,1440
1827,10,42
1828,23422,96
1829,470931,95
1830,1,9
1831,3714,9
1832,29,96
1833,111,4
1834,17891,4
1835,1277,9
1836,1435,1
1837,1060,288
1838,131,1776
1839,119335,1
1840,137,288
1841,1455,2
1842,25,308929
1843,32,288
1844,931,72
1845,30,1
1846,1008,1
1847,1243,713
1848,11193,116
1849,5732,1
1850,296,3
1851,1301,1
1852,625,288
1853,18,1
1854,9938,1
1855,27294,14
1856,417,480
1857,179,120
1858,15133,1
1859,3819,189
1860,1308,85
1861,2099,6
1862,405,53400
1863,339,34
1864,15,1
1865,29,1
1866,31,1
1867,44,594
1868,10946,9
1869,2266,288
1870,93,2
1871,27034,720
1872,5,144
1873,157,288
1874,11614,96
1875,5816,16
1876,24964,490
1877,1066,436
1878,1,1440
1879,12,1024413
1880,129,1
1881,1,1
1882,4191,24
1883,30997,362
1884,1221,164
1885,31,1
1886,127,1
1887,111,1
1888,1551,7
1889,108,2
1890,672,8
1891,2326,1
1892,10047,286
1893,1,288
1894,219,122
1895,1062,24
1896,6117,4
1897,279,9
1898,786,1
1899,15,1
1900,1,27
1901,6882,288
1902,15,1
1903,15170,1
1904,2285,6
1905,2829,288
1906,157,1421
1907,123,288
1908,1012,47
1909,1249,2
1910,128,3
1911,1710,288
1912,14,288
1913,117801,1
1914,1363,2
1915,1311,1
1916,14,2
1917,107,1440
1918,190,288
1919,178,1
1920,1,1
1921,101340,6
1922,101,2
1923,323,54
1924,163,1440
1925,2332,1
1926,233,36
1927,1073,288
1928,1408,1
1929,1482,38
1930,1173,2
1931,1,360
1932,31,1
1933,1305,196
1934,1003,1
1935,9368,16587
1936,3510,1
1937,144,2520
